sep=,
DeviceTag:,2
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_088 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
179,2271972389,-162.239807,-84.779938,74.493439,-0.107381,0.006654,0.048188,0
180,2271989056,-162.175674,-84.781731,74.434731,-0.107746,-0.079026,0.073399,0
181,2272005723,-162.174210,-84.782486,74.446518,-0.058197,-0.098954,-0.015043,0
182,2272022390,-162.222275,-84.779633,74.500313,-0.054539,-0.055756,0.031825,0
183,2272039057,-162.301727,-84.774757,74.588005,-0.080498,-0.031787,0.099899,0
184,2272055724,-162.380447,-84.771538,74.676697,-0.055885,0.078368,0.079430,0
185,2272072391,-162.511017,-84.768158,74.785492,-0.046568,0.097004,-0.055417,0
186,2272089058,-162.621460,-84.766212,74.868744,-0.093685,-0.020516,0.055999,0
187,2272105725,-162.762894,-84.760040,75.014984,-0.026952,-0.146594,-0.006160,0
188,2272122392,-162.875595,-84.747223,75.143669,-0.087111,-0.164069,0.144590,0
189,2272139059,-162.945572,-84.737984,75.252556,-0.001901,0.092011,0.135273,0
190,2272155726,-163.034180,-84.724297,75.332268,0.044928,0.072850,-0.085512,0
191,2272172393,-163.018082,-84.710762,75.299194,-0.116377,0.000049,0.154090,0
192,2272189060,-162.945877,-84.702209,75.250160,-0.047365,-0.040670,0.050925,0
193,2272205727,-162.793289,-84.688248,75.125946,-0.083481,-0.063840,0.113907,0
194,2272222394,-162.540039,-84.682419,74.927505,0.043261,0.010232,0.096804,0
195,2272239061,-162.329071,-84.672112,74.702103,0.048947,-0.017676,0.007630,0
196,2272255728,-162.026688,-84.664841,74.392395,-0.120130,-0.050832,0.162081,0
197,2272272395,-161.697708,-84.658737,74.082596,-0.061769,-0.017853,-0.012609,0
198,2272289062,-161.277512,-84.652283,73.717438,-0.065724,-0.153206,0.124051,0
199,2272305729,-160.899109,-84.651337,73.382095,0.046874,0.016721,-0.045396,0
200,2272322396,-160.563034,-84.651817,73.049927,-0.005450,-0.031514,0.025303,0
201,2272339063,-160.235657,-84.657791,72.735924,-0.061405,-0.047939,0.034858,0
202,2272355730,-159.969650,-84.662590,72.486664,-0.032643,-0.081998,0.006723,0
203,2272372397,-159.813126,-84.659218,72.349144,-0.064903,-0.094598,-0.027737,0
204,2272389064,-159.788071,-84.657379,72.324966,-0.041744,0.034978,0.059159,0
205,2272405731,-159.844955,-84.657501,72.355637,-0.138935,0.075760,0.089891,0
206,2272422398,-159.981308,-84.658012,72.481400,-0.148453,0.021189,0.060620,0
207,2272439065,-160.211868,-84.654602,72.703552,-0.072261,-0.020339,-0.014330,0
208,2272455732,-160.484055,-84.646942,72.964325,-0.065067,-0.059861,0.030667,0
209,2272472399,-160.779999,-84.635391,73.262589,0.006157,-0.027437,0.031230,0
210,2272489066,-161.124786,-84.621521,73.579201,0.001812,-0.021213,-0.003420,0
211,2272505733,-161.365402,-84.606384,73.811089,-0.089644,-0.070135,0.142097,0
212,2272522400,-161.550339,-84.589302,74.013786,0.017480,0.025760,0.064192,0
213,2272539067,-161.746078,-84.572128,74.186386,0.032532,0.006610,-0.032275,0
214,2272555734,-161.821442,-84.550079,74.265587,-0.021174,-0.036609,0.104239,0
215,2272572401,-161.877991,-84.533676,74.303833,-0.029622,0.018885,0.036616,0
